code,name,sector
1111,مجموعة تداول,الخدمات المالية
1182,أملاك,الخدمات المالية
1183,سهل,الخدمات المالية
1202,مبكو,المواد الأساسية
1210,بي سي آي,المواد الأساسية
1211,معادن,المواد الأساسية
1212,أسترا الصناعية,السلع الرأسمالية
1214,شاكر,السلع الرأسمالية
1301,أسلاك,المواد الأساسية
1302,بوان,السلع الرأسمالية
1303,الصناعات الكهربائية,السلع الرأسمالية
1320,أنابيب السعودية,المواد الأساسية
1321,أنابيب الشرق,المواد الأساسية
1322,آماك,المواد الأساسية
1323,يو سي آي سي,المواد الأساسية
1810,سيرا,الخدمات الاستهلاكية
1820,بان,الخدمات الاستهلاكية
1830,لجام للرياضة,الخدمات الاستهلاكية
1831,مهارة,الخدمات التجارية والمهنية
1832,صدر,الخدمات التجارية والمهنية
1833,الموارد,الخدمات التجارية والمهنية
1834,سماسكو,الخدمات التجارية والمهنية
1835,تمكين,الخدمات التجارية والمهنية
2001,كيمانول,المواد الأساسية
2010,سابك,المواد الأساسية
2020,سابك للمغذيات الزراعية,المواد الأساسية
2030,المصافي,الطاقة
2040,الخزف السعودي,السلع الرأسمالية
2050,مجموعة صافولا,إنتاج الأغذية
2060,التصنيع,المواد الأساسية
2070,الدوائية,الأدوية
2080,الغاز,المرافق العامة
2081,الخريف,المرافق العامة
2083,مرافق,المرافق العامة
2084,مياهنا,المرافق العامة
2090,جبسكو,المواد الأساسية
2100,وفرة,إنتاج الأغذية
2110,الكابلات السعودية,السلع الرأسمالية
2120,متطورة,الخدمات المالية
2130,صدق,السلع طويلة الأجل
2140,أيان,الرعاية الصحية
2150,زجاج,المواد الأساسية
2160,أميانتيت,السلع الرأسمالية
2170,اللجين,المواد الأساسية
2180,فيبكو,المواد الأساسية
2190,سيسكو القابضة,النقل
2200,أنابيب,المواد الأساسية
2210,نما للكيماويات,المواد الأساسية
2220,معدنية,المواد الأساسية
2222,أرامكو السعودية,الطاقة
2223,لوبريف,المواد الأساسية
2230,الكيميائية,الرعاية الصحية
2240,الزامل للصناعة,المواد الأساسية
2250,المجموعة السعودية,المواد الأساسية
2270,سدافكو,إنتاج الأغذية
2280,المراعي,إنتاج الأغذية
2281,تنمية,إنتاج الأغذية
2282,نقي,إنتاج الأغذية
2283,المطاحن الأولى,إنتاج الأغذية
2284,المطاحن الحديثة,إنتاج الأغذية
2285,المطاحن العربية,إنتاج الأغذية
2286,المطاحن الرابعة,إنتاج الأغذية
2287,إنتاج,إنتاج الأغذية
2290,ينساب,المواد الأساسية
2300,صناعة الورق,المواد الأساسية
2310,سبكيم العالمية,المواد الأساسية
2320,البابطين,السلع الرأسمالية
2330,المتقدمة,المواد الأساسية
2340,ارتيكس,السلع طويلة الأجل
2350,كيان السعودية,المواد الأساسية
2360,الفخارية,المواد الأساسية
2370,مسك,السلع الرأسمالية
2380,بترو رابغ,الطاقة
2381,الحفر العربية,الطاقة
2382,أديس,الطاقة
3002,أسمنت نجران,المواد الأساسية
3003,أسمنت المدينة,المواد الأساسية
3004,أسمنت الشمالية,المواد الأساسية
3005,أسمنت أم القرى,المواد الأساسية
3007,الواحة,المواد الأساسية
3008,الكثيري,المواد الأساسية
3010,أسمنت العربية,المواد الأساسية
3020,أسمنت اليمامة,المواد الأساسية
3030,أسمنت السعودية,المواد الأساسية
3040,أسمنت القصيم,المواد الأساسية
3050,أسمنت الجنوب,المواد الأساسية
3060,أسمنت ينبع,المواد الأساسية
3080,أسمنت الشرقية,المواد الأساسية
3090,أسمنت تبوك,المواد الأساسية
3091,أسمنت الجوف,المواد الأساسية
3092,أسمنت الرياض,المواد الأساسية
4001,أسواق ع العثيم,تجزئة وتوزيع السلع الاستهلاكية
4002,المواساة,الرعاية الصحية
4003,إكسترا,تجزئة السلع الكمالية
4004,دله الصحية,الرعاية الصحية
4005,رعاية,الرعاية الصحية
4006,أسواق المزرعة,تجزئة وتوزيع السلع الاستهلاكية
4007,الحمادي,الرعاية الصحية
4008,ساكو,تجزئة السلع الكمالية
4009,السعودي الألماني الصحية,الرعاية الصحية
4011,لازوردي,السلع طويلة الأجل
4012,الأصيل,السلع طويلة الأجل
4013,سليمان الحبيب,الرعاية الصحية
4014,دار المعدات,الرعاية الصحية
4015,جمجوم فارما,الأدوية
4016,أفالون فارما,الأدوية
4017,فقيه الطبية,الرعاية الصحية
4019,اس ام سي للرعاية الصحية,الرعاية الصحية
4020,العقارية,إدارة وتطوير العقارات
4030,البحري,الطاقة
4031,الخدمات الأرضية,النقل
4040,سابتكو,النقل
4050,ساسكو,تجزئة السلع الكمالية
4051,باعظيم,تجزئة السلع الكمالية
4061,أنعام القابضة,تجزئة وتوزيع السلع الاستهلاكية
4070,تهامة,الإعلام والترفيه
4071,العربية,الإعلام والترفيه
4080,سناد القابضة,إنتاج الأغذية
4081,النايفات,الخدمات المالية
4082,مرنة,الخدمات المالية
4083,تسهيل,الخدمات المالية
4090,طيبة,إدارة وتطوير العقارات
4100,مكة,إدارة وتطوير العقارات
4110,باتك,السلع الرأسمالية
4130,درب السعودية,الخدمات المالية
4140,صادرات,السلع الرأسمالية
4141,العمران,السلع الرأسمالية
4142,كابلات الرياض,السلع الرأسمالية
4143,تالكو,السلع الرأسمالية
4144,رؤوم,السلع الرأسمالية
4145,أو جي سي,السلع الرأسمالية
4150,التعمير,إدارة وتطوير العقارات
4160,ثمار,تجزئة وتوزيع السلع الاستهلاكية
4161,بن داود,تجزئة وتوزيع السلع الاستهلاكية
4162,المنجم,تجزئة وتوزيع السلع الاستهلاكية
4163,الدواء,تجزئة وتوزيع السلع الاستهلاكية
4164,النهدي,تجزئة وتوزيع السلع الاستهلاكية
4165,الماجد,المنتجات المنزلية والشخصية
4170,شمس,الخدمات الاستهلاكية
4180,مجموعة فتيحي,السلع طويلة الأجل
4190,جرير,تجزئة السلع الكمالية
4191,أبو معطي,تجزئة السلع الكمالية
4192,السيف غاليري,تجزئة السلع الكمالية
4193,نايس ون,تجزئة السلع الكمالية
4200,الدريس,الطاقة
4230,البحر الأحمر,إدارة وتطوير العقارات
4240,سينومي ريتيل,تجزئة السلع الكمالية
4250,جبل عمر,إدارة وتطوير العقارات
4260,بدجت السعودية,النقل
4261,ذيب,النقل
4262,لومي,النقل
4263,سال,النقل
4264,ناس,النقل
4290,الخليج للتدريب,الخدمات الاستهلاكية
4291,الوطنية للتعليم,الخدمات الاستهلاكية
4292,عطاء,الخدمات الاستهلاكية
4300,دار الأركان,إدارة وتطوير العقارات
4310,مدينة المعرفة,إدارة وتطوير العقارات
4320,الأندلس,إدارة وتطوير العقارات
4321,سينومي سنترز,إدارة وتطوير العقارات
4322,رتال,إدارة وتطوير العقارات
4323,سمو,إدارة وتطوير العقارات
4324,بنان,إدارة وتطوير العقارات
4325,مسار,إدارة وتطوير العقارات
4330,الرياض ريت,الصناديق العقارية المتداولة
4331,الجزيرة ريت,الصناديق العقارية المتداولة
4333,تعليم ريت,الصناديق العقارية المتداولة
4335,مشاركة ريت,الصناديق العقارية المتداولة
4336,ملكية ريت,الصناديق العقارية المتداولة
4337,العزيزية ريت,الصناديق العقارية المتداولة
4339,دراية ريت,الصناديق العقارية المتداولة
4340,الراجحي ريت,الصناديق العقارية المتداولة
4342,جدوى ريت السعودية,الصناديق العقارية المتداولة
4344,سدكو كابيتال ريت,الصناديق العقارية المتداولة
4345,الإنماء ريت للتجزئة,الصناديق العقارية المتداولة
4346,ميفك ريت,الصناديق العقارية المتداولة
4347,بنيان ريت,الصناديق العقارية المتداولة
4348,الخبير ريت,الصناديق العقارية المتداولة
4349,الإنماء ريت الفندقي,الصناديق العقارية المتداولة
4350,الإستثمار ريت,الصناديق العقارية المتداولة
5110,السعودية للطاقة,المرافق العامة
6001,حلواني إخوان,إنتاج الأغذية
6002,هرفي للأغذية,الخدمات الاستهلاكية
6004,كاتريون,الخدمات التجارية والمهنية
6010,نادك,إنتاج الأغذية
6012,ريدان,الخدمات الاستهلاكية
6013,التطويرية الغذائية,الخدمات الاستهلاكية
6014,الآمار,الخدمات الاستهلاكية
6015,أمريكانا للمطاعم,الخدمات الاستهلاكية
6016,برغرايززر,الخدمات الاستهلاكية
6018,الأندية للرياضة,الخدمات الاستهلاكية
6020,جاكو,إنتاج الأغذية
6040,تبوك الزراعية,إنتاج الأغذية
6070,الجوف,إنتاج الأغذية
6090,جازادكو,إنتاج الأغذية
7010,اس تي سي,الاتصالات
7020,اتحاد اتصالات,الاتصالات
7030,زين السعودية,الاتصالات
7040,قو للاتصالات,الاتصالات
7200,ام آي اس,التطبيقات وخدمات التقنية
7201,بحر العرب,التطبيقات وخدمات التقنية
7202,سلوشنز,التطبيقات وخدمات التقنية
7203,علم,التطبيقات وخدمات التقنية
7204,توبي,التطبيقات وخدمات التقنية
7211,عزم,التطبيقات وخدمات التقنية
